monopoly n.垄断，专卖；垄断物，垄断商品；垄断企业；垄断集团
draft n.设计图，草图，图样；汇票；通风；征兵
survival n.生存；继续存活，（尤指在困境中的）幸存；幸存事物
optimism n.乐观；乐观主义
ethic n.道德规范，伦理标准
flaw n.（物质或物件的）瑕疵，缺陷，毛病；（人性格中的）毛病，缺陷
exceed v.（在数量或大小上）超过；超越；超出（限定）
contrast n.（明显的）差别（尤指反差）；对比，对照；对照物，对立面
conform v.遵守社会接受的习俗（或规范）；顺从；符合（规则，标准，法律）
confidential adj.保密的；机密的
mass adj.大量的，大批的；民众的，群众的
fossil n.化石；老人；老顽固，老古董
fake n.赝品，假货；冒充者
suit n.套装；西装；西服；诉讼，诉讼案；请求
occur v.存在；出现；发生
depress v.使（经济）萧条，使不景气；使…沮丧；抑制（生物系统），压抑；降低
confidence n.信任，信赖；信心，把握；自信； 秘密
subtract vt.减，减去；去掉
merit n.优秀品质，优点；价值；功绩；美德；长处
transport n.运输，运送；交通系统，运输工具；大型机动车辆，运输船，运输机
spite n.恶意，怨恨；(phrase: in spite of) 尽管
generous adj.丰盛的；量多的；慷慨的
clarity n.明晰，明了，一目了然；确定；明确
naive adj.天真的；（人，行为）无经验的；幼稚的；缺乏判断力的
weapon n.武器，兵器
dignity n.尊严，高贵； 庄严, 端庄
diminish v.减少，减小，缩减，降低；贬低（某人）的形象；减少（某物）的价值
implicit adj.含蓄的，不言明的
border n.【喻】边，分界线；边境，边界；国界
norm n.（尤指社会行为）准则，规范；惯例，典范；常态，正常行为
propel v.推动，刺激，驱策；迫使
customary adj.习俗的，习惯的；特有的，独特的
competitive adj.（与）竞争（有关）的，竞争性的；可与…匹敌的；有竞争力的
discern v.看出，觉察出；了解；识别，发现（某物）；辨明，分清
traverse v.横过；穿越，穿过
exclude v.不包括；对…不予考虑；不准…进入；把…排斥在外；排除
uncommon adj.不平常的；罕见的
military adj.军人的；军事的；武装部队的
mechanical adj.机械的，机器的；力学的；呆板的
package n.包裹；一揽子（或一整套）建议（或条件）；纸包；盒，箱
stroke n.中风；（疾病）突然发作；轻抚；敲，响；（事件的）一次，一回；笔划；扑打；冲程；闪击；划桨；尾桨手，领桨；击（球）
robust adj.强壮的；强健的；粗壮的；茁壮的；（体系、组织）坚挺的，强有力的，坚实的
discrimination n.区别对待，歧视；辨别力，鉴赏力；识别，区别
incorporate v.纳入，收入
elevate v.提升，提高；提高...的水平；举起，抬起；提拔，晋升；使精神振奋
foul adj.难闻的，发臭的；令人不愉快的；污浊的，肮脏的；下流的；（天气）恶劣的；邪恶的，罪恶的；（体育比赛）犯规的
frequent adj.频繁的，时常发生的
embody v.具体表现，体现；代表；包括；收录
distribution n.分发，分配；分布
occupy v.占领，占用；住进
wardrobe n.衣柜，衣橱；（个人）全部服装
tame adj.驯服的，顺从的；沉闷的，乏味的；【非正式】（人）愿意合作的
repertoire n.（剧团、演员等的）全部节目
convey vt.运输，运送；表达；传达（信息或消息、思想、感想、感觉等）；传递
tenure n.（大学教师等被授予的）终身职位；任期；（土地）保有权，保有期
skip v.跳跃，蹦跳；略过，跳过（一本书的部分章节或一连续过程中的某个阶段）；【非正式】逃跑；消失；不参加；不合适处理；错过
permanent adj.永久的，永恒的，持久的
slice n.（切下的）薄片；部分；锅铲
illuminate v.照明，照亮；【喻】阐明，澄清
random adj.【统计】随机的，随意的；胡乱的，无一定之规的；任意的；任意选取的
challenge n.挑战，考验； 挑战书；质询，质疑；异议
linger v.停留，逗留；徘徊；继续留存，缓慢消失；苟延残喘
remedy n.纠正方法；补救办法；治疗（法）；药品；排遣手段
crisis n.危急时刻；危机
incident n.事件，事情
execute v.处决；执行；实施（计划，命令，行动过程）；完成
iron n.铁, 熨斗, 铁器, 金属工具；（化学元素）铁（符号: Fe）
litter n.垃圾, 废弃物, 杂物; 杂乱无章, 乱七八糟; 一窝(仔畜); 铺垫物; 猫砂; (动物睡眠用的)褥草; 担架; 轿子
physiological adj.生理功能的；生理的，生理学的
pinpoint v.精确地对准…的位置，瞄准；准确地查找；准确描述
extent n.广度，范围，程度
cabin n.(轮船上生活或睡觉的)隔间; (飞机的)座舱; (通常为木制的)小屋
extravagant adj.奢侈的；铺张浪费的；过于昂贵的
insist v.坚持，坚决要求；坚持说，断言；坚持做（某事）
nurse n.（尤指医院里的）护士；护理员；保姆
invisible adj.看不见的，无法看到的；不被注意的，不受重视的，被视为无足轻重的
recall v.记得；回想起，回忆起；回索，检索，调用（计算机储存的数据）
literal adj.字面的；按照原文的
donation n.捐款，捐赠物；捐赠，赠送
voluntary adj.自愿的，志愿的；无偿服务的
characterize v.成为…的特征，是…的典型；描述…的特性，形容…的特色
spy v.发现；从事间谍活动；搜集情报；突然看见；暗中监视，暗中观察
foster v.鼓励；促进（某物）（尤指值得拥有的）；抚育，收养
humanity n.［总称］人；人类；人文学科（尤指文学、历史、艺术、音乐和哲学）；人性
crucial adj.决定性的；关键性的；至关重要的
extinction n.灭绝，绝种，消失
ozone n.臭氧
sustainable adj.能保持的，能持续的，能维持的；站得住脚的；【生态】可持续性的
dedicate v.把（时间，精力）用于，献身；把…专用于某课题；致力于
prejudice n.偏见；歧视，反感；损害，侵害
emphasize vt.强调，着重
imperative n.重要紧急的事, 必要的事；命令, 规则；祈使语气, 祈使语气动词
curb vt.抑制，控制，约束
stamp n.邮票, 戳, 印花, 章, 踩踏, 痕迹, 标志
destiny n.命运，天数；上苍，老天
liberal adj.开明的；（制度等）开放的；自由主义的；（教育）通才的
orchestra n.管弦乐队
dominate v.支配，统治，控制；俯视；占据优势
mask n.面具，面罩，口罩；伪装
instability n.不安定，不稳定；（精神的）变化无常
fraction n.小部分；微量；分数
protein n.【总称】（尤指作为饮食成分）蛋白质；朊
practicable adj.能实行的，可行的
originate v.发源；来自；发端于；创立；发明
prose n.散文，白话文
impact n.撞击，冲击力，冲撞；显著效果，显著影响
tick v.给…标记号；发出滴答声
complement v.增加；补足；使更具吸引力
bar n.条, 杆, 棒, 棍; 酒吧; 吧台; 栅, 栏, 障碍(物); 律师职业
confine v.限制；使局限于；监禁
recycle vt.回收利用（废品）；使再循环
extensive adj.大量的，数量大的；规模大的；广泛的，全面的；广阔的
shed n.小屋；棚式建筑；货棚；牲口棚；工作棚
fascinate v.使着迷，强烈地吸引
similar adj.相似的；类似的；相像的
tempt v.引诱，诱惑；很想做；使感兴趣
hinder vt.阻碍，妨碍
instruct v.教，指导；指示；命令，吩咐
fundamental adj.基本的，根本的，基础的，核心的；至关重要的；影响问题的本质（或关键）的；与问题的本质（或关键）有关的
flat adj.无坡度的，平坦的；水平的；扁平的；（市场、价格等）疲软的，萧条的
induce vt.诱使，引诱；导致，致使，引起
overhead adv.在头顶上，在空中，在高处
reclaim v.开垦；感化；取回
parameter n.界限，范围；参数
entrepreneur n.企业家
emergence n.出现，显现，暴露；突出
pitch n.运动场，球场；音高；水平，程度；推销用语；沥青；投球；摊点；坡度
diagnose v.诊断，判断，确定（某人的）治疗状况
incredible adj.【非正式】极好的，美妙的；难以置信的；非凡的
clone v.无性繁殖，克隆；复制
inspiration n.灵感；启发灵感；鼓舞人心（的人或物）；妙计，好主意
council n.委员会；理事会；（市、县或地方行政区的）政务委员会
geology n.地质学；（某一地区的）地质特征
victim n.受害者；遇难者；牺牲品
pound n.镑（英国货币单位，1镑等于100便士）
coincidence n.巧合，巧事；（意见、爱好等的）一致，符合
heritage n.（像历史上有名的建筑物、世代相传的文化传统等）贵重遗产，继承物；传统；（作定语）（与）国家遗产（有关）的，传统的
suffice v.足够；合适
obtain v.得到, 获得; 如愿以偿; 通用, 流行; 存在
guardian n.（法律上的）监护人；守卫者，保护者
versus prep.对，对抗；与…相对；与…相比
forthcoming adj.即将来临的；即将发生的；乐于提供消息的
cooperative adj.合作的；协作的；配合的
reveal v.透露，暴露，泄露，揭露（先前未知或秘密信息）；使显露，展现，显示
fantasy n.想象，幻想；想象的产物
restrict v.限制，控制；限定某事于（某地、某时、某一类人）
tap v.开发；轻叩
overlook v.俯瞰；忽视，忽略；看漏；不理会
proposition n.（商业的）提议，建议；（表达判断或意见的）陈述，主张；论点；欲做的事，待处理的问题；任务
gloomy adj.使悲伤（或消沉）的；阴郁的；前景黯淡的；昏暗的，阴暗的
element n.成分；（抽象事物的）基本组成部分，要素；（化学）元素；基础，纲要；（强风、暴雨等恶劣）天气
bound n.跳跃; 弹回; 边界; 界线, 界限
linear adj.直线的，线性的；长度的；连续的，顺序的
garbage n.（尤指生活）垃圾（或废物）；废话
compulsory adj.必须做的；规定的；义务的
transformation n.转变，变形；（形状、性质或外貌方面）彻底的改变，巨变
numerous adj.众多的；许多的
slum n.贫民窟
compatible adj.（两件事物）可和谐共存的；相容的；协调的；兼容的
demonstration n.论证，证实；示威
skull n.颅骨，脑壳
hostile adj.怀敌意的，敌对的
retrieve v.收回，找回；重新得到；检索（计算机存储信息）；回忆，追忆
texture n.（物质、表面的）结构，构造；纹理；肌理
imperial adj.与帝国有关的
stun vt.使震惊，使目瞪口呆；把…打昏，使昏迷
soar vi.剧增，猛增；高飞；翱翔；（情绪、期望等）高涨；高耸，屹立
tower n.塔；高楼；塔楼；塔台
confirm vt.证实，确定（相信，怀疑的事）；批准
concert n.音乐会；演奏会；合作
render v.致使，造成；给予，提供（服务、帮助等）
incentive n.刺激，鼓励；动机，诱因
economic adj.（学科）与经济相关的；（与）经济（有关）的，经济上的
spectrum n.光谱，声谱，频谱；范围，幅度；系列，层次
smoothly adv.顺利地，平稳地
endure v.忍受（痛苦，困难），忍耐；继续存在；持久，持续
rigorous adj.谨慎的，细致的；严酷的，苛刻的；严密的，缜密的
lure n.吸引力，诱惑物；诱饵，鱼饵
coincide v.同时发生；相同，相符
precise adj.确切的；精确的，精密的；准确的
rarely adv.不常；很少
interruption n.打断；插话；中断时间
converge vi.从四面八方汇集（某地）；（在一点上）会合，互相靠拢；聚集，集中；（思想、观点等）十分相似，相同
periodic adj.间歇的；周期（性）的；时而出现（或发生）的
dine v.宴请；进餐
resolve v.决心, 决定;（使）分解, 溶解; 决议; 解决（问题、争端等）
overlap v.（与…）交叠，部分重叠；时间交叠；有共同之处
migrant n.（尤指为了工作或更好的环境而迁移的）移民；候鸟，迁移动物
negative adj.坏的，有害的；（人，态度，情形）消极的；负面的；不受欢迎的；否定的；负极的，阴性的；小于零的
insect n.昆虫，虫
feature n.特征，特色；面貌；特写，专题节目；故事片
portray vt.描写，（在艺术或文学作品中）描述，刻画；扮演，饰演
champion n.冠军；拥护者
evil adj.恶毒的，邪恶的，有害的；令人讨厌的
table n.桌子；谈判桌；列表，一览表，表格
donate v.捐赠（钱，物），赠送
underlying adj.潜在的，暗含的，深层的
notify v.（正式）通报，知照，通知，告知
concern vt.认为重要；关心，关切；涉及，关于；使担忧，使烦恼，使不安
convenience n.方便，便利；使生活方便舒适的设备；便利设施
stock n.库存；股份，股票；（英国）公债，债券；家畜
interfere v.（未经邀请或没必要）参与，涉入；插手，干涉；扰乱，干扰（过程或活动）（使不能继续或正常进行）
diplomat n.外交官，外交家；有交际手腕的人，圆滑的人
subsequent adj.随后的，后来的；紧接的
messenger n.信使；报信者；信差；通信员；【生化】（体内传递信息和刺激的）信使
criticize v.批评；批判；指责；评论；评价（文艺作品）
beam n.光线，光束；射束；横梁；眉开眼笑
phenomenon n.现象，迹象；非凡的人（或事物）
executive adj.行政的；执行的；实行的；管理的
conduct v.组织；执行；实施；进行；导电，传热；指挥
tuck vt.把（衬衫、餐巾等）的边塞到下面（或里面）；把…夹入，把…藏入
probe v.（密切地对有关人或物的信息）探查，查究；盘问，追问；探测
deadly adj.致死的，致命的；极度的
disrupt vt.扰乱；打断（事件，活动，进程）
booth n.公用电话亭；投票站；（餐馆里的）火车座；售货棚，货摊
blaze vi.照耀，强烈照射；燃烧；发光
mutter v.（尤指不满、愤怒时）小声地说；嘟哝；咕哝；喃喃而语
envisage v.想象, 设想; 正视; 面对
duplicate v.复制; 被复制; 复写; 复印; 重复; 使加倍; 使成双
buck n.（一）美元，（一）澳元；雄（鹿、兔等） vi. （马等）猛然弓背跃起
capable adj.有能力的，有才能的；能胜任的；可以…的；容许…的
wreck n.失事，残骸；精神或身体已垮的人
pedal n.踏板
monologue n.独白，独角戏；滔滔不绝讲话；长篇大论
coin n.硬币；金属货币
divert v.使转向；使分心，转移（注意力）；供消遣；将（某人）从某物引开
hover v.盘旋；徘徊；保持某一水平；接近某一水平
constant adj.不断的；连续的；经常的，不变的
surpass v.超过，强过，胜过
denounce v.谴责，公开指责；告发
commission v.授权（或委托）（人，组织）做（或制造）
browse vi.浏览（文本、网页或数据），随意翻阅；随便看看；（牛、羊等）吃草
cocktail n.鸡尾酒；（尤指不太容易融合的几种物品的）混合物
tribute n.致敬，颂词；表示感激（或敬意、爱慕）的行动（或言语）；礼物
reserve v.预订（房间、座位、入场券等）；把…专门留给
racial adj.人种的，种族的；民族的；种族差异引起的，与种族差异有关的
eligible adj.有资格的；合格的，符合条件的；（尤指婚姻等）合适的，合意的
incompatible adj.与…不一致的，不相容的，不匹配的，不兼容的；互斥的；（两物）不能共存的；与…合不来的
debate n.讨论，辩论，论战
ritual n.（宗教等的）仪式；例行公事，老规矩
dealer n.交易商，贸易商；毒品贩子
segment n.部分；片段；片；弓形
disclose v.泄漏（秘密），透露（新消息）
behavior n.（动物或人对环境或刺激的）反应行为，习惯；行为，举止，待人接物的方式
scratch v.划伤皮肤；挠；取消
grave n.墓穴；坟墓
transform v.转换；彻底改变，使发生巨变，使改变性质；改善
credible adj.可信的，可靠的
prominent adj.显眼的，显著的；突出的，杰出的；重要的；卓越的，著名的
revelation n.出人意料的真相透露，揭露的惊人内幕；（惊人的）新发现；提示；透露；显示
description n.（人或物的）类别；描述；描写；形容
decisive adj.决定性的；决断的，果断的
offspring n.子女，后代；（动物的）幼仔；幼苗
pursuit n.追赶，追逐；追捕，追击；追求，寻求；（尤指娱乐或运动类的）特定活动
planet n.地球；行星
perpetual adj.永恒的，永久的；终身的；持续的，不间断的；一再往复的
compile v.汇编；编辑，编纂
diversion n.转向，转移；偏离；绕行路线；消遣，娱乐
defect n.缺点，缺陷，缺乏
destined adj.命中注定的；预先安排好的
paradise n.天堂，伊甸园；天国，极乐；乐园，福地
wind n.风；气息，呼吸
contribution n.贡献；捐款；促成作用；捐献物；（投给报刊登的）稿件
mortal adj.凡人的；终有一死的；致命的
exhaust v.用完，用光，耗尽（资源，储备物）；使精疲力竭
presentation n.报告，演讲；展示会，发布会；授予；外观，外貌；（新产品，新观点，新作品的）展示；表述；描述
velocity n.速度，速率；高速
opponent n.对手，敌手；反对者
persist v.持续；延续；坚持；执意，执着
worthy adj.值得的，应得的；值得努力的；值得重视的；值得敬重的
contempt n.轻视，轻蔑，蔑视
casualty n.伤亡人员，死伤者；受害人，损失的东西
slack adj.松弛的；（生意，交易）萧条的，不活跃的，清淡的；懈怠的
prime adj.首要的，主要的； 最初的；最好的； 头等的，第一流的；青春的； 精力旺盛的；最典型的； 【数】素数的
descent n.下降，下落，下坡路；血统，家世，门第
finite adj.有限的；有限制的；有穷的
essence n.本质，精髓，实质；要素；香精
yell n.号叫，叫喊
recruit vt.招募（新兵），招聘，招收（员工，支持者）；吸收（新成员）
vast adj.广阔的；大量的；巨大的
sustain v.保持；使持续不断；承受；支持，支撑
literate adj.能读写的，识字的；有文化修养的
nasty adj.糟糕的，恶心的；令人不悦的, 不友好的；严重的，恶劣的；险恶的，道德败坏的
motto n.箴言，格言，座右铭
coupon n.购物优惠券，礼券
nominate vt.提名；指派，指定
graphic adj.详细生动的；绘画的，图表的
trigger n.起因，诱因；扳机；触发器
master n.专家，能手，高手；硕士；主人
revive v.复活，苏醒，复苏；使恢复精力，使重振活力；重新使用；重新上演
compel v.强迫，迫使（某人做某事）；使必须
fellowship n.（学术或专业团体的）会员资格；伙伴关系，友谊，交情；团体，协会，联谊会；奖学金
gift n.赠品；礼物；天赋；才能
interpret v.解释，说明，阐明，阐释（信息或行为）；理解（行为，情绪或行为方式的）特殊含义；口译
sympathy n.同情；同感，意气相投；赞同，支持
undermine vt.暗中破坏，逐渐削弱；侵蚀…的基础
reinforce v.加强，加固；强化；（感情，看法，习惯）增进，加深
fiction n.小说，虚构
strain v.扭伤，劳损；竭尽全力；拉紧
consultant n.顾问；【英】顾问医师，会诊医师
instrument n.乐器；工具；仪器，器械
tissue n.(人、动植物细胞的)组织; 纸巾; 绵纸
erosion n.腐蚀，侵蚀
prosperous adj.成功的；富足的；繁荣的，兴旺的
circumstance n.经济状况；物质条件；情况，条件，形势，环境
luxury adj.奢侈的，豪华的
chronic adj.（问题）长期的；反复的；不断的；（疾病）慢性的
energetic adj.精力充沛的，充满活力的；积极的；需要剧烈活动的
conception n.观点；想法，看法；认识；怀孕，受孕
prone adj.易于…的，很有可能…的；俯卧的
counterpart n.对应的人（或物）
homogeneous adj.由同种组成的；同质的；均质的
chase v.追捕，追逐
validity n.（法律上的）有效，合法性；（正式的）认可；符合逻辑，确凿，正当
burial n.葬礼；出殡
bust v.打破，打碎；爆裂，坏掉
intake n.吸收，吸入；（食物、空气等物质的）摄入量；吸入量
optimum adj.最优的，最佳的；优化的
differentiate v.区分，区别；使不同，使有差异
maneuver n.演习; 机动动作; 花招, 策略; 机动; 调遣
commute vt.通勤；经常在家和工作地点之间往返；减（刑）；折合，折偿
reproach n.责备，责怪，批评
marshal v.结集，收集；安排；控制人群；调集，集结
battle v.奋争；搏斗；与…作战
excel v.擅长，善于；出色，突出
poverty n.贫穷，贫困
economical adj.经济的，合算的；节约的
standardize v.使…标准化，使…符合标准
transition n.过渡，转变，变革；过渡期，转型期
intelligent adj.（设备、建筑物）智能的；有智力的，有才智的（尤指才智高的）
orient v.使朝向；以…为方向；确定方位，认识方向；（使）熟悉；使适应；调节
stabilize v.（使）稳定；（使）稳固；巩固
incidence n.（疾病、犯罪等的）发生，发生率
rational adj.理性的，理智的；明事理的；基于理性的，合理的；基于逻辑的，合乎逻辑的；神智健全的；有理数的
dazzle v.【喻】使眼花缭乱，目眩；使惊奇
literary adj.文学的，与文学相关的
deficit n.赤字，亏损，逆差；不足额
decode vt.解读（语言、非语言交流或图像）；译（码），解（码）
legislation n.立法，法律的制定；【总称】法律，法规
prohibit v.（通过法律、条例等）禁止，阻止某人做某事
interaction n.交流；直接接触；互相往来；相互作用；相互影响，互动（性）
retention n.保留，保持；记忆，记忆力
characteristic n.特性, 特征, 特点, 特色
toll n.过路费，过桥费；不利影响；（自然灾害、冲突、事故等的）伤亡人数
miniature n.微型画；缩微模型
infant n.婴儿；幼儿
subtle adj.（尤指变化或差别）微妙的；细微的；难以描述的；难以分析的；机智的；狡猾的
hypothesis n.[复数hypotheses] 假设, 假说; (凭空的)猜测
supervise v.监督；管理；指导；主管
brink n.（悬崖、河流等的）边缘，边沿
convict v.（经陪审团或法官裁决后）宣判（某人）有罪
manifest v.表明，清楚显示；显现，使人注意到
passion n.激情，热情
pristine adj.早期的，太古的；质朴的；崭新的
dilemma n.（进退两难的）窘境，困境；【非正式】困境；难题
mediate v.经调解解决；经斡旋促成；调解；斡旋
kit n.配套元件；成套设备；一套工具；包
cancel v.（因素，情况）抵消，对消；取消，中止
commend v.（正式）表扬，称赞；推荐；举荐；把…托付给
probation n.【律】缓刑（期）；（以观后效的）察看
identical adj.（双胞胎）同卵的；完全相同的，一模一样的
peanut n.花生米，花生；[pl.]很少的钱
paragraph n.段落；节
invest v.投入，耗费（时间、精力等）；投资
rest n.休息；静止；其余的人（或物）；剩余部分；托，支架
hostility n.敌对行为；不友善；反对
concede vt.（不情愿地）承认（或同意）…为事实（或正确）；（在结果确定前）承认失败；允许，让予；让步，认输
layman n.门外汉，外行
update vt.更新，使现代化
bother v.（环境，事件）使焦虑，使烦恼；麻烦；烦心；尽力
skirt n.裙子；边缘；郊区
void adj.无效的；缺乏…的，没有…的；空的，空空如也
possess v.具有；【律】持有，私藏；占有, 支配; 影响, 控制
brisk adj.活跃的，有活力的；轻快的
reception n.接受，接纳；接待，迎接；（旅馆、组织等场所的）接待处；前台；招待会；（无线电、电视等）接收效果
ingenious adj.（物件等）设计独特的，（方法等）别致的，巧妙的；（人、头脑）灵巧的，善于创造发明的
conservative adj.反对改革的；保守的，守旧的；传统的；（政治上）持右倾观点的
conference n.（尤指召开数日的）正式会议；讨论会，协商会
sculpture n.雕像，雕塑品；雕刻术，雕塑术
premature adj.比正常时间早的；提早的，过早的；（做法等）不成熟的，仓促的
heighten v.增强，变强
plausible adj.（论点，观点）似乎有道理的；似乎可能的；似乎正确的，貌似可信的
object n.（可见或可触摸的）物体，东西；目的, 宗旨；<语>宾语；<哲>客体, 客观；（思想或行动的）对象
spring n.春天，春季；跳跃；泉；弹簧，发条
vital adj.充满活力的，活泼的；必不可少的，必要的
hop v.单脚跳，跳跃；【非正式】跳上（开动的车辆）
impatient adj.不耐烦的，急躁的；热切的，急切的
compliment n.致意，问候；赞美，称赞
stall v.停顿；抛锚；拖延；把…的注意力引开
generalize v.作一般概括（或总结）
legal adj.法定的；法律的，与法律有关的
presume v.假设，假定，推定；妄行，擅自做；越权行事
deadline n.最终期限，截止日期
verge n.边缘；极限，临界点；即将，将近
imitate vt.模仿，仿效；仿制
oppose v.反对，阻挠
quest n.探索，寻找，追求
continuity n.连贯的存在（或活动）；连续的整体；连续性；持续性
rush v.冲，奔；（使）急速行进；仓促行事；猛攻；猛冲；急速流动，奔腾
sacred adj.上帝的，神的；极其神圣的，不可侵犯的，不可违背的；受尊重的
expansion n.扩大，扩张，扩充；膨胀
incline v.使倾斜；使倾向于；想要，赞同
expanding adj.扩大的；增加的；扩展的；展开的
drain v.耗尽；排出，排干；喝光；使精疲力竭，使无精打采
intellect n.智力，领悟力，理解力；智力高的人；知识分子
extinct adj.不复存在的；绝种的
grief n.（尤指某人的亡故造成的）悲伤，悲痛
exclusively adv.仅仅；专门地；单独地；特定地；排外地
sunny adj.阳光灿烂的；（地方）暖和的，阳光充足的；快活的，其乐融融的
strand n.（线等的）股，缕；一个组成部分
modest adj.谦虚的， 谦逊的；（数量，等级，水平）适中的，适度的；有限的；朴素的
exceptional adj.优越的；杰出的，优秀的；异常的，特别的
bounce v.（光，声音或电子信号接触物体后）反弹，反射
territory n.领土，版图，领地；（知识）领域，范围
trivial adj.琐碎的，无价值的，不重要的
conserve vt.节约，防止浪费（资源）；保护，保藏，保存
tremendous adj.（数额、规模或强度上）极大的，巨大的；极好的
disconnect v.（使）不连接，（使）分离；切断（煤气、电、水、电话等的）供应
breakdown n.（关系）破裂，（沟通）失败；崩溃，故障
orientation n.方向，目标；个人基本信仰，态度；（大学或其他机构的）培训，训练；迎新会
dismiss v.对…不屑考虑；让…离开；把…打发走；遣散；摒弃，摒除；解雇
unity n.团结，一致；联合（状态）；统一（状态）
hero n.（一般指男性）英雄；男主角
pupil n.学生, (尤指)小学生, 弟子, 瞳孔
handicap n.生理缺陷，残疾；障碍；阻碍
seemingly adv.表面上；显得；好像
toxic adj.有毒的；因中毒引起的
quota n.（人或团体的）分得的部分，配额；定量；定额，限额；指标
evolution n.进化，演变，演进，演化
describe vt.形容，描写；画出（图形等）
hospitality n.好客，殷勤；（款待客人的）食物、饮料、服务等
hurl v.用力扔或掷（某物），逼迫（某人）
profession n.（尤指需要长期训练和正规资格的）职业；行业，领域；同行, 业内人士
conspicuous adj.显而易见的，明显的；显著的
wound n.伤；伤口；（感情或名誉的）损害；创伤，痛苦
span n.持续时间；一段时间；全长，距离
reputation n.名声，美名，名誉
inflict vt.使遭受（不快，痛苦）
eternal adj.永久的，永世的；无休止的，没完没了的；永恒的，永不改变的
endow v.向（院校、医院等）捐款，捐赠；使具有某种品质
ornament n.装饰；装饰品（尤指小雕像一类的小物件）
exempt adj.被免除（义务，责任等）的，被豁免的
leisure n.闲暇；空闲；休闲
illustrate v.举例说明；以图表说明
colonial adj.（与）殖民地（有关）的；殖民地所特有的
hail v.热情称赞（人或物）；出生地是，来自；招呼，呼喊；下冰雹
criminal adj.犯罪（性质）的，犯法的；【律】刑事的
settlement n.解决，处理；定居地；殖民（地）；（尤指诉讼双方在法庭外达成的）和解；结算
bibliography n.（学术著作的）参考文献目录
spoil v.损害；破坏；毁坏；糟蹋；悉心照料；娇纵，百般照顾；（使）腐坏
casual adj.（衣服）适合日常穿着的；便服的；不过多考虑的；没有预先计划的；轻松的；漠不关心的
continual adj.连续的；频繁（重复）的；无间断的，不断的；不停的
stagger v.蹒跚，踉跄；使吃惊；使震惊；使交错，使错开
background n.（学历、经历等）个人背景；底色， 幕后， 经历
surplus n.过剩; 剩余; [会计]盈余; 公积金; 顺差
bulk n.大宗，大批（买卖）；（大）体积，（大）量
equivalent adj.（在价值、数量、功能、意义等方面）相等的，相同的，等同的
precious adj.贵重的；珍贵的，宝贵的
staircase n.楼梯，楼梯间
reform v.改革，变革
hatch v.（蛋）孵化；策划（尤指秘密计划）
consequence n.（不受欢迎的或令人不快的）结果，后果；影响
consumer n.消费者；顾客；用户
species n.【生】物种，种；【幽默】同类人
symbol n.象征，象征物；符号，标志
crumble v.弄碎；崩溃，瓦解
provision n.提供，供给，给养；供应量，供给物；规定，条款
mentality n.〈常贬〉心态，心性；思想方法
rapid adj.快的，迅速的；迅捷发生（或进行）的
oak n.栎，橡树；栎木，橡木
inherit v.继承（金钱，财产，头衔）
longevity n.长寿，寿命
orbit n.轨道，轨迹
literacy n.识字，有读写能力；（特定领域的）能力（或知识、技能）
edible adj.可以吃的，可食用的（常与不好吃或有毒之物相对）
tackle v.处理，决心处理（问题，难题）；阻截；与某人交涉
comic adj.喜剧的；滑稽的
rival n.竞争对手，敌手
existence n.存在；继续生存；生活（方式）
remnant n.残迹；残留部分
combustion n.燃烧
chord n.和弦，和音；弦，心弦
genuine adj.真的；非伪造的；（人、感情或行为）真诚的，真心的
justification n.正当的理由，借口
constitute v.为…的成分；构成；组成
catastrophe n.（突如其来的）大灾难；大灾祸
scope n.范围；领域；眼界；余地，机会；观察仪器(显微镜、望远镜等)
cucumber n.黄瓜（指果实）
electrical adj.电的；电动的；用电的；发电的
merge v.（使）结合；融合，合为一体；渐渐消失
swamp n.沼泽
verify vt.证实，查证，证明
olive n.橄榄；橄榄树；橄榄绿
dwell v.居住，栖身；老是想着；详述；详写
ethical adj.（与）道德规范（有关）的；（与）伦理（有关）的；合乎道德规范的
compound n.复合物；化合物；复合词；有围墙的房群, 大院；用围墙围住的场地
nickname n.绰号，诨名
shuttle n.（定时往返的）班车；航天飞机（space shuttle的简称）；梭子
streak n.条纹，条痕；（性格的）特征，倾向；一阵子，一连串
multiply v.乘；（使）大量增加；繁殖
intervention n.插入，插手，介入；干预，干涉
install v.安装，设置（设备，机器）
skeleton n.骨架，骨骼；骨瘦如柴的人（或动物）；框架，提纲，概要
persistent adj.持续的，持久的；坚持不懈的，执意的
silence n.沉默，默不作声；寂静，无声
vacant adj.空的，未被占用的；（职位、工作等）空缺的；（神情等）茫然的，（心灵）空虚的
pearl n.珍珠；珠状物；珍品
consist v.由…组成，由…构成；存在于
condemn v.谴责，责难；反对；宣判，判处（某人刑罚）
domestic adj.国内的；家的，家庭的；家用的；驯养的
navigation n.航行（学），航海（术），航空（术）；导航，领航
jerk v.猛推；急拉；突然改变
magnify v.放大，增强；夸大，夸张
partial adj.部分的；偏袒的，偏爱的
optimistic adj.乐观的，乐观主义的
lever n.杠杆，控制杆；工具；【喻】（为使某人做某事而向其施加压力时所用的）手段，方法
recession n.（经济的）衰退（期）
eagle n.鹰, 鹰徽, 十元金币, 【高】比标准杆少两杆的分数
suspicious adj.感到怀疑的；令人怀疑的；不信任的；持怀疑态度的
signify v.指示；表示；表明；意味着；表达；要紧
defeat v.击败, 战胜; 挫败; 使落空
